ID	TEXT
2659	what flights go from boston to atlanta next tuesday
1968	show me the flights from san diego to newark by way of houston
75	show me flights from dallas to pittsburgh
4037	tell me about ground transportation at salt lake city
3097	list all flights leaving on thursday morning from new york city to montreal
3018	do you have a flight from atlanta to charlotte north carolina next monday
3455	list all flights from burbank to denver
1866	i would like to fly to san francisco early in the day
3951	i need a flight from pittsburgh to boston on wednesday the fourteenth
467	how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta
4203	how many flights does twa have with business class
2519	what are all flights from denver to philadelphia on saturday
3412	show me flights from baltimore to boston
2242	what flights are there from nashville to houston tomorrow evening that serve dinner
234	ground transportation in baltimore
2880	is the american flight 813 from boston to oakland a flight that goes straight through from boston to oakland without stopping at another city
980	what airlines fly between atlanta and san francisco
2326	which airlines fly from bwi to dallas fort worth
3813	are there any flights from new york to montreal canada leaving on thursday
139	what cities are served by canadian airlines international
322	flights from indianapolis to seattle washington
3024	find travel arrangements for a round trip flight from boston to pittsburgh
1339	show me all flights on southwest airlines from san diego to san francisco
2909	what is the available ground transportation between san francisco and downtown
2265	yes i would like to find what flights are available from atlanta to boston on the morning of july seventh
476	i need a flight from newark to los angeles leaving tomorrow evening
3824	how much does it cost to go from downtown to logan airport
1973	show me round trip fares from new york to miami
4442	list airlines serving between denver and san francisco
584	i want to arrive in detroit around 6 pm and i'm leaving from chicago
4327	what are the delta flights from dallas to boston
3210	show me round trip fares from baltimore to philadelphia
4116	flights on twa from columbus to st. louis
3870	what flights from las vegas to phoenix on saturday
1013	i need an early flight from denver to san francisco please and i would like breakfast served on that
416	show me ground transportation information for pittsburgh
1912	is there a delta flight from boston to san francisco that stops in denver
4300	i want to fly from boston to san francisco via dallas fort worth on american airlines
631	is there a flight leaving at 1505 from pittsburgh to baltimore on july twenty fifth 1991
1833	nonstop flights from seattle to denver
2929	show me flights from boston to philadelphia on a monday
699	what is the fare for flights from denver to atlanta
2329	what is the earliest flight leaving boston and arriving in atlanta on november seventh
3005	list all flights from baltimore to philadelphia
107	i want to fly from denver to san francisco
504	is there a plane from boston to washington
313	what planes does united use
975	afternoon flight from denver to san francisco
4251	what are all the flights between san francisco and boston
1241	flight information from san francisco to pittsburgh
2426	what flights from miami to indianapolis
1525	what are the morning flights from boston to philadelphia
2974	please list all flights from oakland to dallas on sunday morning
2764	i need a united airlines flight from denver to baltimore on saturday
2786	do you have a 747 that flies from san francisco to baltimore
2023	show me the flights from denver to pittsburgh and atlanta
3620	i'd like information on all the flights from san francisco to pittsburgh on tuesday
3013	tell me about flights from toronto to salt lake city leaving after 530 pm
3585	i'd like to arrange a flight from pittsburgh to atlanta
2965	show me the flights from washington to boston
615	i would like to fly from st. paul to san jose monday morning from san jose to houston tuesday morning and from houston to st. paul on wednesday morning
4013	i need to catch an evening flight from boston to philadelphia on august first
3394	i'd like to arrange a trip to baltimore on january first
3286	show me flights from atlanta to washington dc on wednesday evening
918	i'd like to fly from boston to oakland through denver
3556	what is the airfare from pittsburgh to atlanta
97	please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast
857	i want to fly united airlines from boston to denver
3882	all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday
4444	could i have a listing of flights leaving boston going to baltimore leaving wednesday after 2100
2598	i'd like a flight from st. petersburg to miami on that next thursday
4393	give me a flight from baltimore to newark that arrives as early as possible
2589	what are the flight numbers of the flights which go from san francisco to washington via indianapolis
4266	i would like to find a flight from kansas city to salt lake city on delta and arriving at about 8 o'clock in the evening could you please tell me the aircraft and the flight number thank you
1105	show me flights from pittsburgh to philadelphia
3756	first class round trip airfare from indianapolis to memphis
2232	what ground transport is available in minneapolis
2649	how do i get to philadelphia downtown from the airport
3753	which flights are between boston and baltimore washington
103	flights from denver to baltimore between 10 am and 2 pm
2198	does delta aircraft fly dc10
3967	list united flights from denver to san francisco on tuesdays or wednesdays
1261	list flights leaving dallas on saturday and arriving in san francisco before 4 pm
694	does united airlines fly from boston to dallas fort worth
599	show me one way flights from tampa to st. louis departing before 10 am
1576	give me all the flights from new york to miami round trip with costs less than 466 dollars
1470	what flights from orlando to tacoma on saturday
913	could you please show me all flights from milwaukee to montreal
2353	i need a flight from philadelphia to boston
1030	what is the code for business class
3446	what are the first class and coach fares for flights from chicago to kansas city arriving around 7 pm next thursday
928	show me the airlines that fly between toronto and denver
4299	show me the united flights from bwi to denver
2099	what aircraft is used on delta flight 1222 from kansas city to salt lake city
2796	what are the fares for flights from la to newark leaving monday morning
1389	i want a flight from houston to memphis on tuesday morning
1471	on november twenty third what flights are available between boston and denver on american airlines
1932	what is mco
4107	what is the ground transport in denver
2371	what is the latest flight from philadelphia to boston
1515	flight from boston to baltimore
1832	flights from philadelphia to oakland
4097	i need a flight on sunday from long beach to columbus
2638	is there ground transportation from the airport to downtown phoenix
2273	is there a flight on eastern airlines from boston to denver
852	find a flight from boston to washington on monday
59	give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee
555	please give me flight schedules from baltimore to philadelphia
2950	list all flights on continental leaving denver
2731	show me flights from atlanta to philadelphia in the morning
2988	when does continental fly from philadelphia to denver on sundays
4077	what is the first flight arriving in montreal from toronto friday
2082	what are the schedule of flights from boston to san francisco for august first
1560	give me a flight from tampa to charlotte on sunday
874	list the earliest flight from st. paul to san jose
2560	hi i need to go from cincinnati to san jose california after 6 pm on saturday
684	do you have a flight from boston to fort worth
1072	what flights from miami to indianapolis on sunday
3570	flight information from san francisco to pittsburgh
2789	show me all the flights from san francisco to boston for august thirty first 1991
3685	information on flights from boston to washington
1646	daily flights from newark to cleveland departing 5 o'clock pm
790	what is the latest afternoon flight departing san francisco and arriving in boston on november ninth
2904	where is general mitchell international located
3177	show me first class flights from pittsburgh to san francisco on friday
2666	show me the flights from baltimore to pittsburgh
255	how much does the american airlines flight 71 from dallas to san francisco cost
4439	show me all flights from san francisco to oakland
290	i want information on flights from atlanta to washington dc give me information on flights after 4 pm on wednesday
260	show flights from denver to oakland that arrive after 12 o'clock
1413	name the earliest flight from boston to san francisco
3000	what is the earliest flight that eastern has between boston and washington
4114	list flights from dallas to san francisco
844	explain the fare codes
3402	list all the landings at general mitchell international
1852	show me the flights from boston to philadelphia
3459	what northwest flights leave denver before noon
4448	what is the most expensive one way fare from boston to atlanta on american airlines
63	northwest flights with stops in denver
3387	show me all flights from pittsburgh to boston which leave before noon
3555	show flights between philadelphia and denver on september sixteenth
1394	i wish to fly from boston to washington please find an airline for me
2132	show me airports in washington dc
1624	tell me about flights from atlanta to charlotte north carolina leaving on monday and arriving in charlotte
1527	information on flights from denver to philadelphia
1328	what flights from kansas city to chicago next wednesday arrive at chicago at about 7 pm
2135	list flights from philadelphia to dallas
2512	i need to fly from boston to denver and then to san francisco and back to boston
3340	i am interested in a flight on an aircraft number 727 i would like to go from washington to atlanta
3989	what are the flights from denver to baltimore on august tenth
3222	show me the flights from oakland to washington
2507	show me any show me what the first class fares are of the flights from pittsburgh to san francisco on monday
2936	is there a flight from atlanta to san francisco which connects in dallas
1838	what are the flights from boston to san francisco
312	what flights are available from atlanta to oakland with one way economy fares
3011	i'd like the cheapest one way fare from boston to san francisco
2283	i'd like information on the least expensive airfare round trip from pittsburgh to boston
1456	what is the latest departure from boston to pittsburgh on the seventh of july
3091	i would like to find a flight that goes from la guardia airport to san jose i would like the flight to be on united airlines and arrive in san jose around 10 pm
1538	do you have one to denver from philadelphia
236	show me the cheapest flights from san francisco to boston
2749	list all flights departing from general mitchell
2384	on tuesday the twenty third flights from philadelphia to san francisco on american airlines
1141	i need a flight from philadelphia to denver
4259	what flights are there arriving in chicago after 9 pm on continental
2240	what are the lowest one way fares from atlanta to denver
3122	baltimore to philadelphia
43	show me the earliest flight from san jose to pittsburgh that serves a snack
123	what are the least expensive flights from denver to atlanta
3360	show me ground transportation for dallas
4340	what is the cheapest one way fare from any city to another
946	i need a flight from san diego to indianapolis leaving in the afternoon on tuesday
2149	what flights are available from boston to dallas
1971	what flights do you have from ontario
2719	what are the flights from denver to san francisco on tuesday october fifteenth
21	please list all the arriving and departing flights from general mitchell international
4427	show me the flights from denver to westchester county
1767	show me the flights before 8 am on august second from boston to denver on delta
1147	i would like to fly from pittsburgh to atlanta
1366	can you show me the price of a flight to washington from atlanta on thursday morning
3677	only show continental flights
1981	show me all flights from pittsburgh to san francisco
538	what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco with a dallas stopover
2314	what are the flights from atlanta to baltimore which arrive in baltimore at 7 o'clock pm
2878	does american airlines have a flight from pittsburgh to atlanta
1898	all right give me the flight times in the morning on september twentieth from pittsburgh to san francisco
2502	i'm traveling from boston to atlanta and i'd like to go sometime after 5 pm but i want to know what kind of airplane it's on
4329	what is hp
4353	please list the flights from kansas city to denver
1272	what ground transportation is available into washington
4028	in boston is there ground transportation between airport and downtown
4108	show all flights from boston to denver on july thirty first
970	may i see all the flights from cleveland to dallas
2301	flights from boston to pittsburgh
3015	what is the ground transportation available in denver
3298	list all flights from denver to san francisco on wednesday afternoon
2644	is there a flight from charlotte to newark on tuesday evening
2754	what flights go from boston to pittsburgh after 1205 in the afternoon
127	do you have any flights from boston to dallas fort worth that stop over in philadelphia
681	please list the flights from phoenix to san diego
4431	okay on monday may thirty first i'd like to go from san diego to phoenix early in the morning
3689	list the flights from philadelphia to san francisco which have a layover in dallas
3772	please list all flights from denver to philadelphia two saturdays from now
1170	is there a flight from atlanta to san francisco on november seventh at noon
4125	show flights from atlanta to baltimore
450	is there a meal on delta flight 852 from san francisco to dallas fort worth
2028	show all united flights between boston and philadelphia
2857	i need to reverse the flight from pittsburgh to denver please
2452	give me the flights from new york city to las vegas on sunday and the flights from memphis to las vegas on sunday
3184	what flight from boston to atlanta arrives earliest in atlanta
3640	show me the nonstop flights from houston to dallas
3608	show me the cheapest fares from san diego to miami one way
265	flight from long beach to columbus on twenty seventh
3043	what flights from memphis to miami on wednesday
88	show me ground transportation information for san francisco
736	which airlines have flights from denver to pittsburgh
162	i want a flight on twa from boston to denver
145	requesting flight information from boston to denver on wednesday
1086	list all the flights that depart from general mitchell international
2197	list the flights from denver to san francisco after 2 pm on a monday
4377	what's the name of the denver airport
4364	are there any flights between philadelphia and denver
1972	list nonstop flights from houston to dallas which arrive after 8 pm
2869	how long does it take to get from kansas city to st. paul
1785	find travel arrangements for a round trip flight from dallas to pittsburgh arriving after 8 pm
1453	which cities are serviced by both american and delta airlines
808	please list fares for all the flights from atlanta to philadelphia on august the first
488	what is fare code fn
1816	what flights are between washington and san francisco
1611	what's the earliest flight leaving denver for pittsburgh
1377	what is the earliest flight leaving boston and going to washington on september third
2852	i need a flight from boston to san francisco via dallas fort worth
2998	i want to fly nonstop from denver to dallas
3030	show me the aircraft that canadian airlines uses
1444	do you have an 819 flight from denver to san francisco
4426	where is lester pearson airport
1200	do you have a flight from salt lake city to st. petersburg on june second
1612	show me flights from baltimore to philadelphia
432	show me the flights from miami to san diego with one stop in denver
3498	i need information on flight from atlanta to denver
3318	list all round trip flights from orlando to kansas city
1980	what united airlines first class airfare flights are available from denver to baltimore on july three
1342	i'd like to know the earliest flights from boston to atlanta georgia
3887	what is the cheapest first class fare from cleveland to miami on us air on february twenty fourth
4268	give me all the flights from new york to miami round trip
1090	show afternoon flights from houston to dallas
2106	show me flights between memphis tennessee and las vegas
3971	for each airline flying between boston and san francisco what is the earliest flight
3758	show flights first class on american airlines between dallas and philadelphia
550	i would like information on flights from oakland california to dallas leaving on sunday morning
1119	show all flights with first class from baltimore to dallas
3452	show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon
1697	show me all flights direct and connecting from boston to pittsburgh that arrive in pittsburgh before 10 am
859	tell me about flights on american airlines from dallas to san francisco on june twenty ninth
4304	philadelphia to dallas arriving before 1 in the afternoon
1227	what airlines fly between boston and san francisco and stop in denver
4104	what does the meal code s stand for
1768	may i see all the flights from washington to san francisco please
657	i want to make a round trip flight from washington to san francisco and return
1730	which flights from pittsburgh to atlanta have the lowest coach class fares
4149	i would like information on any flights from pittsburgh to san francisco leaving thursday evening
93	latest flight from houston to san jose
1208	show me the cheapest fare from baltimore to dallas
3564	what is the fare going from boston to dallas fort worth one way on november seventh
3396	list all united flights from boston to san francisco
1717	all flights pittsburgh to baltimore on thursday arrival by 10 am
706	are there any flights from philadelphia to dallas which stop in atlanta
471	what ground transportation is available in pittsburgh
1303	can you tell me which flight from dallas to baltimore has the least expensive fare
665	i'd like to go from boston to denver at 9 o'clock saturday night
2915	i would like information on ground transportation in atlanta from the airport to the city in the morning around 9 am
882	show me all the flights from denver to las vegas
2736	show me all flights from boston to denver which arrive before noon on wednesday
661	i would like the first flight from toronto to montreal next friday
1609	what is the cost of limousine service in philadelphia
3304	show me fares from miami to new york
2	show me the flights arriving on baltimore on june fourteenth
2423	list flights from pittsburgh to baltimore
32	ground transportation in phoenix
1091	i'd like to see the flights from atlanta to washington dc
4162	what airlines fly into salt lake city
2411	show flights from pittsburgh into san francisco
2449	fares and flights from denver to philadelphia
2221	flight from cleveland to nashville
2108	what flights are available from pittsburgh to oakland airport
4075	what are my options for a minneapolis back to indianapolis flight around noontime
2267	list all the flights that arrive at general mitchell international from various cities
1503	what is the earliest flight from memphis to las vegas
960	does delta airlines fly from pittsburgh to atlanta
1457	i need a reservation from baltimore to san francisco
2431	show me all flights from phoenix to milwaukee next wednesday
3168	airline code as
1117	what are all flights from pittsburgh to boston on wednesdays
3447	does us air fly from dc to dallas
13	does continental airlines fly from denver to san francisco
412	show me flights from baltimore to philadelphia
2873	us 771 pittsburgh to philadelphia what is the fare
707	give me the round trip coach fare from baltimore to dallas
258	first class round trip airfare from indianapolis to memphis
2266	i would like an american flight from toronto to san diego with a stopover in denver please
2568	what flights go to san francisco from boston
705	please show me all one way first class flights from indianapolis to memphis
2654	i am also interested in a flight that runs from st. louis to las vegas
136	what is the latest flight from salt lake city to st. petersburg
4161	information on flights from pittsburgh to san francisco
1202	what airlines fly from philadelphia to san francisco
501	give me the flights from washington dc to philadelphia for december second
2923	i need to make a trip starting in boston going to dallas denver oakland and back to boston
4309	i want a flight on saturday from minneapolis to long beach
2498	i would like a morning flight from milwaukee to denver colorado please
563	show me the airlines
2794	please list all northwest flights into denver
2171	show me one way flights from tampa to st. louis departing before 10 am first class
722	what does dfw mean
156	is there an airline that advertises having more flights than any other airline
2428	list all the flights from atlanta to charlotte north carolina that leave next monday
1979	list nonstop flights from baltimore to newark on wednesday before noon
3801	please show me flights from dallas fort worth to atlanta on monday
3458	show me the flights from pittsburgh to baltimore
1429	show me the shortest flight from boston to denver which arrives in denver wednesday before noon
3784	i'd like to fly from atlanta to denver on august twenty ninth
3292	i would like a flight from philadelphia to dallas
1540	flights from atlanta to dallas in the afternoon
3671	do you have a united flight from dallas to san francisco
1789	what is the earliest flight from washington to atlanta leaving on wednesday september fourth
836	show me the flights from all airports to love field
1306	all united airlines flights with stopovers in denver
2286	show me ground transportation in washington dc
2868	show me the flights from dallas to baltimore at economy level
1014	i'd like to see the fare code again qx
2104	please list the earliest lunch flight from columbus to phoenix
828	what is the cheapest round trip fare from pittsburgh to atlanta
571	what's the cheapest round trip fare between boston and washington
1588	i would like the first flight into houston from dallas on march first and the last flight from houston to dallas on march first
2865	show me the last flight from denver to boston
82	show me the flights from newark new jersey to ontario international next saturday
1557	what does the fare code yn mean
4349	i would like a flight from dallas to philadelphia
10	american flights from chicago to los angeles morning
2320	coach class flights on twa from columbus to st. paul
3158	what is the cheapest one way flight from atlanta to boston
169	ground transportation washington
53	show me all flights from san francisco to pittsburgh on a monday
1279	list the nonstop flights from miami to washington dc
3111	show me flights monday night after 8 pm for dallas to boston
1321	please list all flights from san francisco to pittsburgh on sunday
1558	i want a flight from philadelphia to dallas that at least has one stop
4307	find a flight on american airlines from boston to san francisco that makes a stopover in denver
200	show me the cheapest fare from dallas to baltimore
327	show me the flights from baltimore to boston
2472	on july twenty third an early flight on american from philadelphia to san francisco
549	please give me the cheapest flight from denver to pittsburgh
1060	show me all the flights from baltimore to columbus
140	san francisco to philadelphia please
2813	what's the lowest round trip fare from atlanta to pittsburgh
877	what are the flights from boston to orlando
2548	which flights are there on tuesday from san francisco to pittsburgh
1242	what flights are available from denver to philadelphia on monday
3104	show me the flights from montreal to chicago
1802	i like to see the information for flights from pittsburgh to san francisco leaving pittsburgh after 12 pm
3061	what flights are provided by delta airlines
1325	what is the distance from san francisco international airport to san francisco
1947	show me the list of flights from dallas to baltimore on american and delta airlines
3613	could you tell me the cheapest fare from atlanta to boston on thirty first of august
2819	i would like to fly from boston to atlanta
460	show me the flights from philadelphia to atlanta
731	i would like a to know the type of aircraft leaving from atlanta bound to boston on friday this week
2237	delta flights to san francisco please
3827	show me flights from baltimore to dallas
1505	does the phoenix airport have ground transportation to and from downtown
3698	i am interested in a flight on american airlines from dallas to washington
1173	what airlines have flights from boston to philadelphia that leave before 630 am
4295	are there any flights on june eleventh from st. petersburg to milwaukee
3416	list number of people that can be carried on each type of plane that flies between pittsburgh and baltimore
3963	show me all the delta flights leaving or arriving at pittsburgh between 12 and 4 in the afternoon
2020	flights from las vegas to montreal
3482	list flights from philadelphia to san francisco thursday
3421	what flights depart baltimore and arrive by 8 pm friday in san francisco
2949	please show me all fares for flights from denver to oakland
642	show me fares from houston to las vegas
3252	show me flights from san francisco to minneapolis
1349	i need the cheapest direct flight from atlanta to denver leaving on may seventh
2090	show me all flights from ontario to tacoma one way
1411	oakland to denver
2161	what is the cheapest flight from boston to atlanta
650	flight numbers from minneapolis to long beach on june twenty six
1716	show me the airlines between toronto and denver
810	does dl stand for delta
708	what is the latest flight from san francisco to washington
484	list all the landings at general mitchell international
3183	show me the flights from boston to denver on august second
3467	i'd like a flight from baltimore to boston as early in the morning as i can
3761	show me the flights from denver to atlanta on friday
522	show me flights leaving from dallas to baltimore
1945	show me all flights to dallas from san francisco atlanta and pittsburgh
1033	what is your least expensive fare between atlanta and boston
250	show me the flights from toronto to salt lake city which leave toronto after 6 pm
1463	delta flights to dallas please
4209	what ground transportation is available from the pittsburgh airport to downtown and how much does it cost
3890	show me flights from pittsburgh to philadelphia on wednesday morning
3356	what ground transportation is available in dallas
4415	what are the flights between dallas and pittsburgh on july eight
2605	i need a flight from cincinnati to san jose leaving after 6 in the evening
3439	i want to fly from philadelphia to dallas with a stop in atlanta on a breakfast flight
3089	display all flights from boston to baltimore on july thirty first
3355	flights from newark to cleveland 5 o'clock pm daily
2046	what is the cheapest round trip coach flight between dallas and baltimore leaving august tenth
1244	is there a flight between oakland and boston with a stopover in dallas fort worth on twa
1731	what flights are available from philadelphia to denver on sundays
3906	united airlines flights stopping in denver before noon
3883	show me flights from san francisco to dallas please
2178	what is the cost of the air taxi operation at philadelphia international airport
1640	what flights go from newark to boston after 1024 in the morning
2429	i'd like a flight from las vegas to detroit on monday
4202	i would like to find flights from minneapolis to long beach after 4 o'clock on monday june fourteenth please
1737	please show me the round trip flights from st. petersburg to toronto
2669	i want to go from denver to oakland
1658	are there any united airlines flights between boston and dallas
2616	show me the cheapest one way fares from san diego to miami
4464	i want to leave before 8 in the morning what flight should i take to atlanta from boston
1691	is there a flight from pittsburgh to baltimore that arrives between 6 and 7 pm
2383	what flights are available on wednesday from atlanta to washington dc
1567	list the shortest flight from san jose to houston
2464	american flights to houston from cincinnati
165	all flights leaving washington dc to san francisco that are first class
2885	i want wednesday flights from atlanta to washington dc
853	how much is an economy ticket from washington to san francisco on september thirtieth
1647	i would like to make a round trip between washington and san francisco
2474	display all flights from denver to san francisco on august seven
620	i need a connecting flight on continental on june fifth from chicago to seattle
2579	what is the latest flight from washington dc to denver
2157	what flights go from newark to boston after 5 pm
3917	list all flights from boston to oakland
4459	what is fare code m
1382	how much is a flight from washington to montreal
3746	american airlines from phoenix to denver
2508	flights from columbus to milwaukee
4410	i need a flight from pittsburgh to new york city
3999	what flights are there available from philadelphia to denver on wednesday with economy class
2920	i want to see the cheapest flight from atlanta to baltimore
1769	i need information on a flight from boston to denver
3208	flights from ontario to orlando
1054	do you have any airlines that would stop at denver on the way from baltimore to san francisco
3797	show me dallas ground transport
2447	what type of ground transportation is available in washington
2585	list the flights from houston to st. paul
4073	very well i'm working on scenario three i'm interested in a flight on a 727 from washington dc to atlanta georgia
408	show me the flights leaving from love field
2257	how much does it cost to fly on american from dallas to baltimore
979	all flights from charlotte to anywhere on us air
2391	list daily flights from oakland to boston using united airlines
1026	show me the flights arriving at love field from all other airports
2610	i'd like to fly from boston to baltimore
646	flights from dc to denver
1539	what are the cheapest flights from denver to pittsburgh that stop in atlanta
1233	which flights go from pittsburgh to atlanta in the evening
242	show me all ground transportation in washington dc
2351	how many daily us air flights are there between philadelphia and pittsburgh
1688	what is the first flight from boston to atlanta
25	from seattle to salt lake city
2482	what flights leave pittsburgh for denver on monday night
4394	what flights leave from boston to pittsburgh in the morning
3711	could you please find me a nonstop flight from atlanta to baltimore on a boeing 757 arriving at 7 pm
3728	what flights from phoenix to las vegas on saturday
129	show all nonstop flights from boston to san francisco
1367	what is fare code h
230	do you have a night flight from washington to boston on august twenty seventh
2039	show me all flights from denver to baltimore
788	list the flights arriving in atlanta from baltimore before noon on august fourth
1001	what flights are there from milwaukee to phoenix on saturday
3523	united airlines stopping in denver
3223	show me all the cheapest fares from new york to miami leaving on tuesday
1464	what flights are available with q fares from boston to pittsburgh
3533	show me the flight schedule from pittsburgh to san francisco
1949	i'd like to travel from boston to baltimore on us air 269 please tell me the times
3166	what are the flights from chicago to indianapolis
3035	list all daily flights between boston and oakland using delta airlines
3954	what is the cheapest fare from washington to san francisco
3218	flights from boston to pittsburgh
281	show me the nonstop flights from nashville to st. louis
1882	i'd like to see all flights from denver to philadelphia
2556	now i need a flight leaving fort worth and arriving in denver no later than 2 pm next monday
635	show me the flights to and from love field
2774	i'm flying from boston to dallas
3892	is there a flight between san francisco and boston with a stopover at dallas fort worth
2699	what's the capacity of an f28
2893	get me a first class flight on american to san francisco on tuesday next week
1582	which airlines serve pittsburgh
3477	what flights go from boston to orlando
2516	i want information on flights from atlanta to washington dc i want to leave wednesday after 4 pm or thursday before 9 am
768	flights from newark to cleveland daily
2260	show me all flights between san francisco and philadelphia for september fifteenth
19	what are the flights from tacoma to san jose on wednesday the nineteenth
1390	what flights from los angeles to minneapolis
2185	show me the flight that leaves philadelphia in the afternoon and arrives in the evening in denver
816	hi i want a round trip ticket to dallas
421	show me flights from denver to dc on wednesday
2255	could i have the flights from newark to orlando please
1095	i need a flight from denver to washington dc on wednesday
2756	i'd like to leave atlanta in the afternoon and arrive in philadelphia at 5 pm
1250	i would like information information on flights from san francisco to denver on thursday morning
3521	okay what flights are there us air from orlando to cleveland leaving in the afternoon
3503	what ground transportation is available in san francisco
3147	what is the earliest nonstop flight from washington to san francisco
3479	do you have a 9 o'clock flight from boston to philadelphia
3587	what are your flights from dallas to baltimore
4189	find the cheapest one way fare from pittsburgh to san francisco
1163	what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh
2768	on monday i'd like to travel from las vegas to detroit michigan
771	please list the flight times from newark to boston
3466	find any flight from boston to oakland stopping in denver
1194	list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth
733	give me a list of flights between denver and oakland
1318	what is the earliest flight departing san francisco and arriving in boston on november ninth
3529	does american airlines fly from philadelphia to dallas
1375	give me a list of flights between pittsburgh and baltimore
87	is there a flight between san francisco and boston with a stopover in dallas fort worth
2321	nonstop flights seattle to boston
2533	i need information from denver to pittsburgh
3391	show me the type of aircraft that canadian airlines uses
1364	list the flights from denver to baltimore
3676	show me some information on making a reservation from philadelphia to denver on sunday
3950	how far is it from orlando airport to orlando
3431	can you list all flights from chicago to st. louis that depart after 12 noon
4263	what flights does american airlines fly from philadelphia to dallas
3305	i'd like to see flights from pittsburgh to philadelphia
3256	may i have a listing of flights from milwaukee to tacoma washington departing in the evening
2436	can i go from boston to san francisco with a stopover in denver
4154	list all flights from long beach to columbus on sunday
4422	show me first class round trip flights from new york to miami i want the cheapest first class fare please
3826	what flights from dallas to houston on sunday
2425	what's the ground transportation from oakland to san francisco
1847	list the flights arriving in boston from atlanta on august fifth
766	i want to fly from boston to denver with a stop in philadelphia
1628	flights from oakland to san francisco
1605	show me ground transportation in denver
3722	thank you very much now can you help me with information on flights from boston to atlanta
3172	cheapest flight from memphis to miami
751	what is delta's schedule of morning flights to atlanta
4033	i would like a flight from oakland to philadelphia at one in the afternoon arriving at 5 pm
3246	i have two friends that would like to visit me on wednesday here in washington dc one of them lives in denver and the other lives in miami
4032	what is the airfare for flights from denver to pittsburgh on delta airline
3245	show me flights from denver to philadelphia
2253	from phoenix to las vegas on saturday
2916	find a flight from philadelphia to san francisco please on delta
314	show me the flights from denver to las vegas
4126	i would like a flight from boston to atlanta
917	could you please tell me the first flight leaving baltimore to san francisco on a 747 on august twenty seventh
2622	please show me flights from philadelphia to baltimore between 10 am and 2 pm
802	my question is i want to go to san francisco and i live in denver and i would like to fly on united airlines do you have an early flight
2141	what classes of service does twa provide
1160	newark to cleveland
856	i need flight information leaving atlanta and arriving in baltimore for monday
3129	please list the flights from philadelphia to toronto
1618	i'd like a united airlines flight on wednesday from san francisco to boston
3848	i need to know a list of flights from atlanta
3181	i need a flight from new york to san francisco
