ID	TEXT	INTENT
106	is wednesday to be cloudy	weather/find
107	is thursday to be cloudy	weather/find
108	is thursday to be cloudy	weather/find
109	is thursday to be cloudy	weather/find
110	is friday to be cloudy	weather/find
111	is friday to be cloudy	weather/find
112	is friday to be cloudy	weather/find
113	is saturday to be cloudy	weather/find
114	is saturday to be cloudy	weather/find
115	is saturday to be cloudy	weather/find
116	is sunday to be cloudy	weather/find
117	is sunday to be cloudy	weather/find
118	is sunday to be cloudy	weather/find
119	is monday to be rainy	weather/find
120	is monday to be rainy	weather/find
121	is monday to be rainy	weather/find
122	is tuesday to be rainy	weather/find
123	is tuesday to be rainy	weather/find
124	is tuesday to be rainy	weather/find
125	is wednesday to be rainy?	weather/find
126	is wednesday to be rainy?	weather/find
127	is wednesday to be rainy?	weather/find
128	is thursday to be rainy	weather/find
129	is thursday to be rainy	weather/find
130	is thursday to be rainy	weather/find
131	is friday to be rainy	weather/find
132	is friday to be rainy	weather/find
133	is friday to be rainy	weather/find
134	is saturday to be rainy	weather/find
135	is saturday to be rainy	weather/find
136	is saturday to be rainy	weather/find
137	set an alarm for 830	alarm/set_alarm
138	set an alarm for 830	alarm/set_alarm
139	set an alarm for 830	alarm/set_alarm
140	set alarm for 750	alarm/set_alarm
141	set alarm for 750	alarm/set_alarm
142	set alarm for 750	alarm/set_alarm
143	set an alarm for 730	alarm/set_alarm
144	set an alarm for 730	alarm/set_alarm
145	set an alarm for 730	alarm/set_alarm
146	set an alarm for 540	alarm/set_alarm
147	set an alarm for 540	alarm/set_alarm
148	set an alarm for 540	alarm/set_alarm
149	set an alarm for 1215	alarm/set_alarm
150	set an alarm for 1215	alarm/set_alarm
151	set an alarm for 1215	alarm/set_alarm
152	set alarm for 630	alarm/set_alarm
153	set alarm for 630	alarm/set_alarm
154	set alarm for 630	alarm/set_alarm
155	set an alarm for 820	alarm/set_alarm
156	set an alarm for 820	alarm/set_alarm
157	set an alarm for 820	alarm/set_alarm
158	set an alarm for 920	alarm/set_alarm
159	set an alarm for 920	alarm/set_alarm
160	set an alarm for 920	alarm/set_alarm
161	set an alarm for 125	alarm/set_alarm
162	set an alarm for 125	alarm/set_alarm
163	set an alarm for 125	alarm/set_alarm
164	set an alarm for 210	alarm/set_alarm
165	set an alarm for 210	alarm/set_alarm
166	set an alarm for 210	alarm/set_alarm
167	set an alarm for 402	alarm/set_alarm
168	set an alarm for 402	alarm/set_alarm
169	set an alarm for 402	alarm/set_alarm
170	set an alarm for 330	alarm/set_alarm
171	set an alarm for 330	alarm/set_alarm
172	set an alarm for 330	alarm/set_alarm
173	set an alarm for 1115	alarm/set_alarm
174	set an alarm for 1115	alarm/set_alarm
175	set an alarm for 1115	alarm/set_alarm
176	set an alarm for 620	alarm/set_alarm
177	set an alarm for 620	alarm/set_alarm
178	set an alarm for 620	alarm/set_alarm
179	set an alarm for 920	alarm/set_alarm
180	set an alarm for 920	alarm/set_alarm
181	set an alarm for 920	alarm/set_alarm
182	set an alarm for 215	alarm/set_alarm
183	set an alarm for 215	alarm/set_alarm
184	set an alarm for 215	alarm/set_alarm
185	set an alarm for 535	alarm/set_alarm
186	set an alarm for 535	alarm/set_alarm
187	set an alarm for 535	alarm/set_alarm
188	set an alarm for 622	alarm/set_alarm
189	set an alarm for 622	alarm/set_alarm
190	set an alarm for 622	alarm/set_alarm
191	set an alarm for 905	alarm/set_alarm
192	set an alarm for 905	alarm/set_alarm
193	set an alarm for 905	alarm/set_alarm
194	set an alarm for 302	alarm/set_alarm
195	set an alarm for 302	alarm/set_alarm
196	set an alarm for 302	alarm/set_alarm
197	Tell me my alarms	alarm/show_alarms
198	Tell me my alarms	alarm/show_alarms
199	Tell me my alarms	alarm/show_alarms
200	My alarms now	alarm/show_alarms
201	My alarms now	alarm/show_alarms
202	My alarms now	alarm/show_alarms
203	Tell my alarms	alarm/show_alarms
204	Tell my alarms	alarm/show_alarms
205	Tell my alarms	alarm/show_alarms
206	Give my alarms	alarm/show_alarms
207	Give my alarms	alarm/show_alarms
208	Give my alarms	alarm/show_alarms
209	Alarms now, if you please	alarm/show_alarms
210	Alarms now, if you please	alarm/show_alarms
211	Alarms now, if you please	alarm/show_alarms
212	Alarms, right now	alarm/show_alarms
213	Alarms, right now	alarm/show_alarms
214	Alarms, right now	alarm/show_alarms
215	Alarm, right now	alarm/show_alarms
216	Alarm, right now	alarm/show_alarms
217	Alarm, right now	alarm/show_alarms
218	My alarms, right now	alarm/show_alarms
219	My alarms, right now	alarm/show_alarms
220	My alarms, right now	alarm/show_alarms
221	My alarm, right now	alarm/show_alarms
222	My alarm, right now	alarm/show_alarms
223	My alarm, right now	alarm/show_alarms
224	Tell me my alarms	alarm/show_alarms
225	Tell me my alarms	alarm/show_alarms
226	Tell me my alarms	alarm/show_alarms
227	My alarms now	alarm/show_alarms
228	My alarms now	alarm/show_alarms
229	My alarms now	alarm/show_alarms
230	Tell my alarms	alarm/show_alarms
231	Tell my alarms	alarm/show_alarms
232	Tell my alarms	alarm/show_alarms
233	Give my alarms	alarm/show_alarms
234	Give my alarms	alarm/show_alarms
235	Give my alarms	alarm/show_alarms
236	Alarms now, if you please	alarm/show_alarms
237	Alarms now, if you please	alarm/show_alarms
238	Alarms now, if you please	alarm/show_alarms
239	Alarms, right now	alarm/show_alarms
240	Alarms, right now	alarm/show_alarms
241	Alarms, right now	alarm/show_alarms
242	Alarm, right now	alarm/show_alarms
243	Alarm, right now	alarm/show_alarms
244	Alarm, right now	alarm/show_alarms
245	My alarms, right now	alarm/show_alarms
246	My alarms, right now	alarm/show_alarms
247	My alarms, right now	alarm/show_alarms
248	My alarm, right now	alarm/show_alarms
249	My alarm, right now	alarm/show_alarms
250	My alarm, right now	alarm/show_alarms
251	is there rain today	weather/find
252	is there rain today	weather/find
253	is there rain today	weather/find
254	is there sun today	weather/find
255	is there sun today	weather/find
256	is there sun today	weather/find
257	are there clouds today	weather/find
258	are there clouds today	weather/find
259	are there clouds today	weather/find
260	is it hot today?	weather/find
261	is it hot today?	weather/find
262	is it hot today?	weather/find
263	is there wind today?	weather/find
264	is there wind today?	weather/find
265	is there wind today?	weather/find
266	is there snow today?	weather/find
267	is there snow today?	weather/find
268	is there snow today?	weather/find
269	is there humidity right now	weather/find
270	is there humidity right now	weather/find
271	is there humidity right now	weather/find
272	is there heat today?	weather/find
273	is there heat today?	weather/find
274	is there heat today?	weather/find
275	are there rain clouds today	weather/find
276	are there rain clouds today	weather/find
277	are there rain clouds today	weather/find
278	are there ice storms today	weather/find
279	are there ice storms today	weather/find
280	are there ice storms today	weather/find
281	is tomorrow to be sunny	weather/find
282	is tomorrow to be sunny	weather/find
283	is tomorrow to be sunny	weather/find
284	is tomorrow to be cloudy?	weather/find
285	is tomorrow to be cloudy?	weather/find
286	is tomorrow to be cloudy?	weather/find
287	is thursday to be rainy?	weather/find
288	is thursday to be rainy?	weather/find
289	is thursday to be rainy?	weather/find
290	is friday to be storming?	weather/find
291	is friday to be storming?	weather/find
292	is friday to be storming?	weather/find
293	is Friday to be hot	weather/find
294	is Friday to be hot	weather/find
295	is Friday to be hot	weather/find
296	is Tuesday to be clear?	weather/find
297	is Tuesday to be clear?	weather/find
298	is Tuesday to be clear?	weather/find
299	Is Saturday to be humid	weather/find
300	Is Saturday to be humid	weather/find
301	Is Saturday to be humid	weather/find
302	is Monday to be snowy	weather/find
303	is Monday to be snowy	weather/find
304	is Monday to be snowy	weather/find
305	is Sunday to have sun?	weather/find
306	is Sunday to have sun?	weather/find
307	is Sunday to have sun?	weather/find
308	is tomorrow to have ice	weather/find
309	is tomorrow to have ice	weather/find
310	is tomorrow to have ice	weather/find
311	Weather tomorrow in half moon bay	weather/find
312	Weather tomorrow in half moon bay	weather/find
313	Weather tomorrow in half moon bay	weather/find
314	Weather tomorrow in half moon bay	weather/find
315	Weather tomorrow in half moon bay	weather/find
316	give me the weather in half moon bay tomorrow	weather/find
317	give me the weather in half moon bay tomorrow	weather/find
318	give me the weather in half moon bay tomorrow	weather/find
319	give me the weather in half moon bay tomorrow	weather/find
320	give me the weather in half moon bay tomorrow	weather/find
321	can you tell me tomorrow's forecast in half moon bay?	weather/find
322	can you tell me tomorrow's forecast in half moon bay?	weather/find
323	can you tell me tomorrow's forecast in half moon bay?	weather/find
324	can you tell me tomorrow's forecast in half moon bay?	weather/find
325	can you tell me tomorrow's forecast in half moon bay?	weather/find
326	weather report for half moon bay tomorrow	weather/find
327	weather report for half moon bay tomorrow	weather/find
328	weather report for half moon bay tomorrow	weather/find
329	weather report for half moon bay tomorrow	weather/find
330	weather report for half moon bay tomorrow	weather/find
331	half moon bay weather tomorrow?	weather/find
332	half moon bay weather tomorrow?	weather/find
333	half moon bay weather tomorrow?	weather/find
334	half moon bay weather tomorrow?	weather/find
335	half moon bay weather tomorrow?	weather/find
336	what's the weather for half moon bay on Friday?	weather/find
337	what's the weather for half moon bay on Friday?	weather/find
338	what's the weather for half moon bay on Friday?	weather/find
339	what's the weather for half moon bay on Friday?	weather/find
340	what's the weather for half moon bay on Friday?	weather/find
341	let's see the weather for half moon bay on Tuesday	weather/find
342	let's see the weather for half moon bay on Tuesday	weather/find
343	let's see the weather for half moon bay on Tuesday	weather/find
344	let's see the weather for half moon bay on Tuesday	weather/find
345	let's see the weather for half moon bay on Tuesday	weather/find
346	i want half moon bay's weather for the weekend	weather/find
347	half moon bay's weather on Friday	weather/find
348	i need half moon bay's forecast for Saturday	weather/find
349	i need half moon bay's forecast for Saturday	weather/find
350	i need half moon bay's forecast for Saturday	weather/find
351	i need half moon bay's forecast for Saturday	weather/find
352	i need half moon bay's forecast for Saturday	weather/find
353	get me the Wednesday weather report for half moon bay	weather/find
354	get me the Wednesday weather report for half moon bay	weather/find
355	get me the Wednesday weather report for half moon bay	weather/find
356	get me the Wednesday weather report for half moon bay	weather/find
357	get me the Wednesday weather report for half moon bay	weather/find
358	i want the forecast for Friday in half moon bay	weather/find
359	i want the forecast for Friday in half moon bay	weather/find
360	i want the forecast for Friday in half moon bay	weather/find
361	i want the forecast for Friday in half moon bay	weather/find
362	i want the forecast for Friday in half moon bay	weather/find
363	what's Friday's forecast for half moon bay	weather/find
364	what's Friday's forecast for half moon bay	weather/find
365	what's Friday's forecast for half moon bay	weather/find
366	what's Friday's forecast for half moon bay	weather/find
367	what's Friday's forecast for half moon bay	weather/find
368	give me the current forecast for half moon bay	weather/find
369	give me the current forecast for half moon bay	weather/find
370	give me the current forecast for half moon bay	weather/find
371	give me the current forecast for half moon bay	weather/find
372	give me the current forecast for half moon bay	weather/find
373	Forecast for tomorrow in half moon bay?	weather/find
374	Forecast for tomorrow in half moon bay?	weather/find
375	Forecast for tomorrow in half moon bay?	weather/find
376	Forecast for tomorrow in half moon bay?	weather/find
377	Forecast for tomorrow in half moon bay?	weather/find
378	i want to be reminded to set family tasks	reminder/set_reminder
379	i want to be reminded to set family tasks	reminder/set_reminder
380	i want to be reminded to set family tasks	reminder/set_reminder
381	i want to be reminded to play overwatch with friends	reminder/set_reminder
382	i want to be reminded to play overwatch with friends	reminder/set_reminder
383	i want to be reminded to play overwatch with friends	reminder/set_reminder
384	i want to be reminded to log in to fortnite	reminder/set_reminder
385	i want to be reminded to log in to fortnite	reminder/set_reminder
386	i want to be reminded to log in to fortnite	reminder/set_reminder
387	I want to be reminded to finish my report	reminder/set_reminder
388	I want to be reminded to finish my report	reminder/set_reminder
389	I want to be reminded to finish my report	reminder/set_reminder
390	I want to be reminded to brush my teeth	reminder/set_reminder
391	I want to be reminded to brush my teeth	reminder/set_reminder
392	I want to be reminded to brush my teeth	reminder/set_reminder
393	I want to be reminded to file those bug reports	reminder/set_reminder
394	I want to be reminded to file those bug reports	reminder/set_reminder
395	I want to be reminded to file those bug reports	reminder/set_reminder
396	I want to be reminded to play baseball with the brothers	reminder/set_reminder
397	I want to be reminded to play baseball with the brothers	reminder/set_reminder
398	I want to be reminded to play baseball with the brothers	reminder/set_reminder
399	i want to be reminded to feed all animals	reminder/set_reminder
400	i want to be reminded to feed all animals	reminder/set_reminder
401	i want to be reminded to feed all animals	reminder/set_reminder
402	i want to be reminded to clean the sheets	reminder/set_reminder
403	i want to be reminded to clean the sheets	reminder/set_reminder
404	i want to be reminded to clean the sheets	reminder/set_reminder
405	I want to be reminded to file taxes	reminder/set_reminder
406	I want to be reminded to file taxes	reminder/set_reminder
407	I want to be reminded to file taxes	reminder/set_reminder
408	i want to be reminded to finish seasoning the steaks	reminder/set_reminder
409	i want to be reminded to finish seasoning the steaks	reminder/set_reminder
410	i want to be reminded to finish seasoning the steaks	reminder/set_reminder
411	i want to be reminded to finish setting devices up	reminder/set_reminder
412	i want to be reminded to finish setting devices up	reminder/set_reminder
413	i want to be reminded to finish setting devices up	reminder/set_reminder
414	i want to be reminded to finish interview questions	reminder/set_reminder
415	i want to be reminded to finish interview questions	reminder/set_reminder
416	i want to be reminded to finish interview questions	reminder/set_reminder
417	i want to be reminded to finish reviewing candidates	reminder/set_reminder
418	i want to be reminded to finish reviewing candidates	reminder/set_reminder
419	i want to be reminded to finish reviewing candidates	reminder/set_reminder
420	i want to be reminded to complete the build	reminder/set_reminder
421	i want to be reminded to complete the build	reminder/set_reminder
422	i want to be reminded to complete the build	reminder/set_reminder
423	i don't want to forget to eat my lunch	reminder/set_reminder
424	i don't want to forget to eat my lunch	reminder/set_reminder
425	i don't want to forget to eat my lunch	reminder/set_reminder
426	i don't want to forget to feed the animals	reminder/set_reminder
427	i don't want to forget to feed the animals	reminder/set_reminder
428	i don't want to forget to feed the animals	reminder/set_reminder
429	I don't want to forget to bake that cake for the party	reminder/set_reminder
430	I don't want to forget to bake that cake for the party	reminder/set_reminder
431	I don't want to forget to bake that cake for the party	reminder/set_reminder
432	i don't want to forget to draft my fantasy team	reminder/set_reminder
433	i don't want to forget to draft my fantasy team	reminder/set_reminder
434	i don't want to forget to draft my fantasy team	reminder/set_reminder
435	i don't want to be reminded to grab a quick nap before driving	reminder/set_reminder
436	i don't want to be reminded to grab a quick nap before driving	reminder/set_reminder
437	i don't want to be reminded to grab a quick nap before driving	reminder/set_reminder
438	I don't want to forget to watch Sunday Night Football	reminder/set_reminder
439	I don't want to forget to watch Sunday Night Football	reminder/set_reminder
440	I don't want to forget to watch Sunday Night Football	reminder/set_reminder
441	I don't want to forget to watch Saturday Night Live	reminder/set_reminder
442	I don't want to forget to watch Saturday Night Live	reminder/set_reminder
443	I don't want to forget to watch Saturday Night Live	reminder/set_reminder
444	I don't want to forget to watch the latest press conference	reminder/set_reminder
445	I don't want to forget to watch the latest press conference	reminder/set_reminder
446	I don't want to forget to watch the latest press conference	reminder/set_reminder
447	I don't watch to forget to call the president	reminder/set_reminder
448	I don't watch to forget to call the president	reminder/set_reminder
449	I don't watch to forget to call the president	reminder/set_reminder
450	i don't want to forget to file the bug reports	reminder/set_reminder
451	i don't want to forget to file the bug reports	reminder/set_reminder
452	i don't want to forget to file the bug reports	reminder/set_reminder
453	I don't want to forget to listen to the latest albums	reminder/set_reminder
454	I don't want to forget to listen to the latest albums	reminder/set_reminder
455	I don't want to forget to listen to the latest albums	reminder/set_reminder
456	i don't want to forget to cook lunch for the Martins	reminder/set_reminder
457	i don't want to forget to cook lunch for the Martins	reminder/set_reminder
458	i don't want to forget to cook lunch for the Martins	reminder/set_reminder
459	I don't want to forget to charge my laptop	reminder/set_reminder
460	I don't want to forget to charge my laptop	reminder/set_reminder
461	I don't want to forget to charge my laptop	reminder/set_reminder
462	I don't want to forget to update the spreadsheets	reminder/set_reminder
463	I don't want to forget to update the spreadsheets	reminder/set_reminder
464	I don't want to forget to update the spreadsheets	reminder/set_reminder
465	I don't want to forget to assign family tasks	reminder/set_reminder
466	I don't want to forget to assign family tasks	reminder/set_reminder
467	I don't want to forget to assign family tasks	reminder/set_reminder
468	I want to be reminded to file tax	reminder/set_reminder
469	I want to be reminded to file tax	reminder/set_reminder
470	I want to be reminded to file tax	reminder/set_reminder
471	I want to be reminded to take out the trash	reminder/set_reminder
472	I want to be reminded to take out the trash	reminder/set_reminder
473	I want to be reminded to take out the trash	reminder/set_reminder
474	I want to be reminded to cook dinner	reminder/set_reminder
475	I want to be reminded to cook dinner	reminder/set_reminder
476	I want to be reminded to cook dinner	reminder/set_reminder
477	I want to be reminded to go to the store	reminder/set_reminder
478	I want to be reminded to go to the store	reminder/set_reminder
479	I want to be reminded to go to the store	reminder/set_reminder
480	I want to be reminded to watch the game tonight	reminder/set_reminder
481	I want to be reminded to watch the game tonight	reminder/set_reminder
482	I want to be reminded to watch the game tonight	reminder/set_reminder
483	I want to be reminded to call dad	reminder/set_reminder
484	I want to be reminded to go to the doctor	reminder/set_reminder
485	I want to be reminded to go early to spin class	reminder/set_reminder
486	I want to be reminded to wash dog	reminder/set_reminder
487	I want to be reminded to make dinner early	reminder/set_reminder
488	I want to be reminded to call my therapist	reminder/set_reminder
489	I want to be reminded to charge electronic devices	reminder/set_reminder
490	I want to be reminded to go take a nap	reminder/set_reminder
491	I want to be reminded to help my daughter with homework	reminder/set_reminder
492	I don't want to forget to file taxes	reminder/set_reminder
493	I don't want to forget to file taxes	reminder/set_reminder
494	I don't want to forget to file taxes	reminder/set_reminder
495	I can't forget to file taxes	reminder/set_reminder
496	I can't forget to file taxes	reminder/set_reminder
497	I can't forget to file taxes	reminder/set_reminder
498	Don't let me forget to file taxes	reminder/set_reminder
499	Don't let me forget to file taxes	reminder/set_reminder
500	Don't let me forget to file taxes	reminder/set_reminder
501	Please do not let me forget to file taxes	reminder/set_reminder
502	Please do not let me forget to file taxes	reminder/set_reminder
503	Please do not let me forget to file taxes	reminder/set_reminder
504	I cannot forget to file taxes	reminder/set_reminder
505	I cannot forget to file taxes	reminder/set_reminder
506	I cannot forget to file taxes	reminder/set_reminder
507	I really don't want to forget to file taxes	reminder/set_reminder
508	I really don't want to forget to file taxes	reminder/set_reminder
509	I really don't want to forget to file taxes	reminder/set_reminder
510	I really can't forget to file taxes	reminder/set_reminder
511	I really can't forget to file taxes	reminder/set_reminder
512	I really can't forget to file taxes	reminder/set_reminder
513	I don't want to forget to wash the dog	reminder/set_reminder
514	I don't want to forget to wash the dog	reminder/set_reminder
515	I don't want to forget to wash the dog	reminder/set_reminder
516	I don't want to forget to take out the trash	reminder/set_reminder
517	I don't want to forget to take out the trash	reminder/set_reminder
518	I don't want to forget to take out the trash	reminder/set_reminder
519	I don't want to forget to clean my car	reminder/set_reminder
520	I don't want to forget to clean my car	reminder/set_reminder
521	I don't want to forget to clean my car	reminder/set_reminder
522	I don't want to forget to go to work	reminder/set_reminder
523	I don't want to forget to go to work	reminder/set_reminder
524	I don't want to forget to go to work	reminder/set_reminder
525	I don't want to forget my hair appointment	reminder/set_reminder
526	I don't want to forget my hair appointment	reminder/set_reminder
527	I don't want to forget my hair appointment	reminder/set_reminder
528	i don't want to forget to go to band practice	reminder/set_reminder
529	i don't want to forget to go to band practice	reminder/set_reminder
530	i don't want to forget to go to band practice	reminder/set_reminder
531	I don't want to forget to feed to fish	reminder/set_reminder
532	I don't want to forget to feed to fish	reminder/set_reminder
533	I don't want to forget to feed to fish	reminder/set_reminder
534	I don't want to forget to drive to dad's house	reminder/set_reminder
535	I don't want to forget to drive to dad's house	reminder/set_reminder
536	I don't want to forget to drive to dad's house	reminder/set_reminder
537	I don't want to forget to text my girlfriend about dinner	reminder/set_reminder
538	I don't want to forget to text my girlfriend about dinner	reminder/set_reminder
539	I don't want to forget to text my girlfriend about dinner	reminder/set_reminder
540	I don't want to forget to pay the bills	reminder/set_reminder
541	I don't want to forget to pay the bills	reminder/set_reminder
542	I don't want to forget to pay the bills	reminder/set_reminder
543	I don't want to forget to email my boss about the tests	reminder/set_reminder
544	I don't want to forget to email my boss about the tests	reminder/set_reminder
545	I don't want to forget to email my boss about the tests	reminder/set_reminder
546	I don't want to forget to color my hair	reminder/set_reminder
547	I don't want to forget to color my hair	reminder/set_reminder
548	I don't want to forget to color my hair	reminder/set_reminder
549	I don't want to forget to charge my phone	reminder/set_reminder
550	I don't want to forget to charge my phone	reminder/set_reminder
551	I don't want to forget to charge my phone	reminder/set_reminder
552	I don't want to forget to pack my laptop	reminder/set_reminder
553	I don't want to forget to pack my laptop	reminder/set_reminder
554	I don't want to forget to pack my laptop	reminder/set_reminder
555	I don't want to forget to grab the books	reminder/set_reminder
556	I don't want to forget to change the fish tank	reminder/set_reminder
557	I don't want to forget to change the fish tank	reminder/set_reminder
558	I don't want to forget to change the fish tank	reminder/set_reminder
559	I don't want to forget to clean the bathroom	reminder/set_reminder
560	I don't want to forget to clean the bathroom	reminder/set_reminder
561	I don't want to forget to clean the bathroom	reminder/set_reminder
562	My alarms	alarm/show_alarms
563	My alarms	alarm/show_alarms
564	My alarms	alarm/show_alarms
565	My alarms please	alarm/show_alarms
566	My alarms please	alarm/show_alarms
567	My alarms please	alarm/show_alarms
568	My alarms now	alarm/show_alarms
569	My alarms now	alarm/show_alarms
570	My alarms now	alarm/show_alarms
571	My alarms right now	alarm/show_alarms
572	My alarms right now	alarm/show_alarms
573	My alarms right now	alarm/show_alarms
574	My alarms if you will	alarm/show_alarms
575	My alarms if you will	alarm/show_alarms
576	My alarms if you will	alarm/show_alarms
577	Get my alarms	alarm/show_alarms
578	Get my alarms	alarm/show_alarms
579	Get my alarms	alarm/show_alarms
580	Get my alarms please	alarm/show_alarms
581	Get my alarms please	alarm/show_alarms
582	Get my alarms please	alarm/show_alarms
583	My alarm	alarm/show_alarms
584	My alarm	alarm/show_alarms
585	My alarm	alarm/show_alarms
586	My alarm please	alarm/show_alarms
587	My alarm please	alarm/show_alarms
588	My alarm please	alarm/show_alarms
589	My alarm now	alarm/show_alarms
590	My alarm now	alarm/show_alarms
591	My alarm now	alarm/show_alarms
592	My alarm right now	alarm/show_alarms
593	My alarm right now	alarm/show_alarms
594	My alarm right now	alarm/show_alarms
595	My alarm if you will	alarm/show_alarms
596	My alarm if you will	alarm/show_alarms
597	My alarm if you will	alarm/show_alarms
598	Get my alarm	alarm/show_alarms
599	Get my alarm	alarm/show_alarms
600	Get my alarm	alarm/show_alarms
601	Get my alarm please	alarm/show_alarms
602	Get my alarm please	alarm/show_alarms
603	Get my alarm please	alarm/show_alarms
604	My alarms now please	alarm/show_alarms
605	My alarms now please	alarm/show_alarms
606	My alarms now please	alarm/show_alarms
607	My alarms right now please	alarm/show_alarms
608	My alarms right now please	alarm/show_alarms
609	My alarms right now please	alarm/show_alarms
610	My alarm now please	alarm/show_alarms
611	My alarm now please	alarm/show_alarms
612	My alarm now please	alarm/show_alarms
613	My alarm right now please	alarm/show_alarms
614	My alarm right now please	alarm/show_alarms
615	My alarm right now please	alarm/show_alarms
616	Find my alarms	alarm/show_alarms
617	Find my alarms	alarm/show_alarms
618	Find my alarms	alarm/show_alarms
619	Find my alarm	alarm/show_alarms
620	Find my alarm	alarm/show_alarms
621	Find my alarm	alarm/show_alarms
622	Find my alarms please	alarm/show_alarms
623	Find my alarms please	alarm/show_alarms
624	Find my alarms please	alarm/show_alarms
625	Find my alarm please	alarm/show_alarms
626	Find my alarm please	alarm/show_alarms
627	Find my alarm please	alarm/show_alarms
628	Find my alarms now	alarm/show_alarms
629	Find my alarms now	alarm/show_alarms
630	Find my alarms now	alarm/show_alarms
