utterance	slot_labels	intent	intent_ID	slots_ID	language
cuál es el más barato de los vuelos desde dallas hasta atlanta que salen después de las 2 de la tarde	O O O B-cost_relative I-cost_relative O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative O O B-depart_time.time O O B-depart_time.period_of_day	atis_flight	2	82 82 82 87 88 82 82 82 82 38 82 155 82 82 127 82 82 137 82 82 52	es
was ist mia	O O B-airport_code	atis_abbreviation	14	82 82 14	de
find the earliest breakfast flight from boston to oakland	O O B-flight_mod B-meal_description O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 58 153 82 82 38 82 155	en
muéstrame todos los vuelos entre dallas fort worth y san francisco u oakland que salgan entre las 5 y las 7 de la tarde	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-or B-toloc.city_name O O O O B-depart_time.start_time O O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time I-depart_time.end_time	atis_flight	2	82 82 82 82 82 38 39 39 82 155 156 147 155 82 82 82 82 131 82 82 0 1 1 1	es
abflug von denver nach san francisco vor 10 uhr vormittags welcher flugzeugtyp wird verwendet	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O O O O	atis_aircraft	7	82 82 38 82 155 156 127 137 138 138 82 82 82 82	de
j’essaie de voler de denver à boston et je veux un vol qui sert un repas .	O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O O O B-meal O	atis_flight	2	82 82 82 82 38 82 155 82 82 82 82 82 82 82 82 6 82	fr
what are the flight numbers of the flights which go from san francisco to washington via indianapolis	O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name	atis_flight_no	1	82 82 82 82 82 82 82 82 82 82 82 38 39 82 155 82 26	en
muéstrame todos los vuelos desde san francisco hasta oakland	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 82 82 38 39 82 155	es
i'm interested in a flight from dallas to washington and i'm also interested in going to baltimore	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O O B-toloc.city_name	atis_flight	2	82 82 82 82 82 82 38 82 155 82 82 82 82 82 82 82 155	en
how many united flights are there to san francisco	O O B-airline_name O O O O B-toloc.city_name I-toloc.city_name	atis_quantity	4	82 82 149 82 82 82 82 155 156	en
what are the sunday flights from oakland to washington dc	O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code	atis_flight	2	82 82 82 113 82 82 38 82 155 93	en
i would like to find the cheapest one way fare from boston to oakland	O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 82 87 46 47 82 82 38 82 155	en
qué transporte terrestre hay disponible en boston	O O O O O O B-city_name	atis_ground_service	12	82 82 82 82 82 82 135	es
qué vuelos hay entre washington y san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	82 82 82 82 38 82 155 156	es
muéstrame los vuelos desde nueva york hasta los ángeles con escala en milwaukee	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name	atis_flight	2	82 82 82 82 38 39 82 155 156 82 82 82 26	es
vuelos de american que salgan desde san francisco por favor	O O B-airline_name O O O B-fromloc.city_name I-fromloc.city_name O O	atis_flight	2	82 82 149 82 82 82 38 39 82 82	es
cuál es el primer vuelo desde boston hasta dallas	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 58 82 82 38 82 155	es
show me all flights from san diego to phoenix on a boeing 737	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-aircraft_code	atis_flight	2	82 82 82 82 82 38 39 82 155 82 82 82 97	en
combien de vols american airlines a-t-elle de boston à atlanta	O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name	atis_quantity	4	82 82 82 149 150 82 82 38 82 155	fr
quel est le dernier vol de la journée de baltimore à atlanta	O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 58 82 82 82 82 82 38 82 155	fr
zeige mir den letzten verfügbaren flug, der am einundzwanzigsten juli abends von boston nach dc geht	O O O B-flight_mod O O O O B-depart_date.day_number B-depart_date.month_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.state_code O	atis_flight	2	82 82 82 58 82 82 82 82 95 103 52 82 38 82 93 82	de
cuál es el vuelo más barato de american airlines desde cleveland hasta miami	O O O O B-cost_relative I-cost_relative O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 82 87 88 82 149 150 82 38 82 155	es
qué transporte terrestre hay disponible en baltimore	O O O O O O B-city_name	atis_ground_service	12	82 82 82 82 82 82 135	es
was ist der erste flug von dallas nach houston	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 58 82 82 38 82 155	de
welche flüge gibt es von boston nach pittsburgh nach 7:23 uhr abends	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time	atis_flight	2	82 82 82 82 82 38 82 155 127 137 138 138	de
qué vuelos hay disponibles el miércoles por la tarde desde atlanta hasta san francisco	O O O O O B-depart_date.day_name B-depart_time.period_of_day I-depart_time.period_of_day I-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	82 82 82 82 82 113 52 53 53 82 38 82 155 156	es
quiero reservar un vuelo temprano en la mañana desde tampa florida hasta charlotte carolina del norte para el seis de abril	O O O O B-depart_time.period_of_day O O B-depart_time.period_of_day O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name I-toloc.state_name O O B-depart_date.day_number O B-depart_date.month_name	atis_flight	2	82 82 82 82 52 82 82 52 82 38 28 82 155 36 37 37 82 82 95 82 103	es
welcher flughafen ist in tampa	O O O O B-city_name	atis_airport	10	82 82 82 82 135	de
qu’est-ce que hp	O O B-airline_code	atis_abbreviation	14	82 82 91	fr
j’ai besoin d’un vol de baltimore à seattle .	O O O O O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	82 82 82 82 82 38 82 155 82	fr
wie weit ist der flughafen von der innenstadt von pittsburgh entfernt	O O O O O O O O O B-fromloc.city_name O	atis_distance	5	82 82 82 82 82 82 82 82 82 38 82	de
list the flights from dallas to san francisco on american airlines	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name	atis_flight	2	82 82 82 82 38 82 155 156 82 149 150	en
combien de temps faut-il pour aller de l’ aéroport d’atlanta à la ville d’ atlanta	O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O B-toloc.city_name	atis_distance	5	82 82 82 82 82 82 82 82 99 100 82 82 82 82 155	fr
me montrer des vols de pittsburgh à los angeles jeudi en soirée .	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name O B-depart_time.period_of_day O	atis_flight	2	82 82 82 82 82 38 82 155 156 113 82 52 82	fr
flüge vormittags von atlanta nach philadelphia	O B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 52 82 38 82 155	de
hola, estoy intentando encontrar un vuelo que vaya desde pittsburgh hasta denver después de las 2 de la tarde	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative O O B-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time	atis_flight	2	82 82 82 82 82 82 82 82 82 38 82 155 127 82 82 137 138 138 138	es
dame una lista de vuelos desde atlanta hasta boston que salgan entre las 6 de la tarde y las 10 de la noche el ocho de agosto	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.start_time I-depart_time.start_time I-depart_time.start_time I-depart_time.start_time O O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time I-depart_time.end_time O B-depart_date.day_number O B-depart_date.month_name	atis_flight	2	82 82 82 82 82 82 38 82 155 82 82 82 82 131 132 132 132 82 82 0 1 1 1 82 95 82 103	es
ich möchte gerne die economy -tarife für pittsburgh nach philadelphia sehen	O O O O B-economy O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 10 82 82 38 82 155 82	de
pourriez-vous me dire le tarif le moins cher d’ atlanta à boston le trente-et-un du mois d' août	O O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number O O O B-depart_date.month_name	atis_airfare	0	82 82 82 82 82 87 88 88 82 38 82 155 82 95 82 82 82 103	fr
quels sont tous les vols de pittsburgh à boston un mercredi	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name	atis_flight	2	82 82 82 82 82 82 38 82 155 82 113	fr
i want a flight from pittsburgh to los angeles that departs after 6 pm on thursday	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.day_name	atis_flight	2	82 82 82 82 82 38 82 155 156 82 82 127 137 138 82 113	en
wie hoch ist der preis für einen einzel flug von baltimore nach boston am siebten november	O O O O O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name	atis_airfare	0	82 82 82 82 82 82 82 46 82 82 38 82 155 82 95 103	de
vuelos diarios desde newark hasta cleveland	O B-flight_days O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 18 82 38 82 155	es
mein ziel ist san francisco . ich wohne in denver . ich hätte gern einen flug am dreißigsten august am morgen mit irgendeiner fluglinie, die mich dort hinbringt	O O O B-toloc.city_name I-toloc.city_name O O O O B-fromloc.city_name O O O O O O O B-depart_date.day_number B-depart_date.month_name O B-depart_time.period_of_day O O O O O O O	atis_flight	2	82 82 82 155 156 82 82 82 82 38 82 82 82 82 82 82 82 95 103 82 52 82 82 82 82 82 82 82	de
quel est le premier vol qu’ eastern a entre boston et washington	O O O B-flight_mod O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 58 82 82 149 82 82 38 82 155	fr
welche fluglinien fliegen von boston nach baltimore	O O O O B-fromloc.city_name O B-toloc.city_name	atis_airline	15	82 82 82 82 38 82 155	de
qué vuelo desde pittsburgh hasta baltimore lleva el menor número de pasajeros	O O O B-fromloc.city_name O B-toloc.city_name O O B-mod O O O	atis_flight	2	82 82 82 38 82 155 82 82 60 82 82 82	es
j’aimerais un vol us air de toronto à san diego avec une escale à denver s’il vous plaît.	O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name O O O	atis_flight	2	82 82 82 149 150 82 38 82 155 156 82 82 82 82 26 82 82 82	fr
show me the flights from baltimore to oakland	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 82 82 38 82 155	en
vuelos desde newark hasta boston	O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 38 82 155	es
what price is a limousine service to new york's la guardia	O O O O B-transport_type O O B-fromloc.city_name I-fromloc.city_name B-fromloc.airport_name I-fromloc.airport_name	atis_ground_fare	9	82 82 82 82 145 82 82 38 39 99 100	en
qué es el código de tarifa f	O O O O O O B-fare_basis_code	atis_abbreviation	14	82 82 82 82 82 82 78	es
nombres de aeropuertos	O O O	atis_airport	10	82 82 82	es
dime los vuelos que salgan desde denver después de las 7 de la tarde para el próximo lunes y que lleguen a boston	O O O O O O B-fromloc.city_name B-depart_time.time_relative O O B-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time O O B-depart_date.date_relative B-depart_date.day_name O O O O B-toloc.city_name	atis_flight	2	82 82 82 82 82 82 38 127 82 82 137 138 138 138 82 82 22 113 82 82 82 82 155	es
quiero un vuelo de continental desde boston hasta san francisco	O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	82 82 82 82 149 82 38 82 155 156	es
please show me flights which cost less than or equal to 466 dollars from new york to miami leaving on a tuesday	O O O O O O B-cost_relative O O O O B-fare_amount I-fare_amount O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name	atis_flight	2	82 82 82 82 82 82 87 82 82 82 82 48 49 82 38 39 82 155 82 82 82 113	en
quisiera un vuelo desde burbank hasta tacoma , washington	O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.state_name	atis_flight	2	82 82 82 82 38 82 155 82 36	es
what are the most expensive first class tickets between boston and san francisco	O O O B-cost_relative I-cost_relative B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	82 82 82 87 88 24 25 82 82 38 82 155 156	en
nenne mir flüge von st. petersburg , die vor mittag in toronto ankommen	O O O O B-fromloc.city_name I-fromloc.city_name O O B-arrive_time.time_relative B-arrive_time.time O B-toloc.city_name O	atis_flight	2	82 82 82 82 38 39 82 82 12 143 82 155 82	de
quel est le tarif en classe économique le moins cher de dallas à denver en aller-retour	O O O O O B-class_type I-class_type B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O B-round_trip	atis_airfare	0	82 82 82 82 82 24 25 87 88 88 82 38 82 155 82 46	fr
quel est le dernier vol de san josé à houston	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 58 82 82 38 39 82 155	fr
quels transports terrestres y a-t-il à atlanta	O O O O O O B-city_name	atis_ground_service	12	82 82 82 82 82 82 135	fr
i would like to fly from denver to pittsburgh on the cheapest flight possible	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative O O	atis_flight	2	82 82 82 82 82 82 38 82 155 82 82 87 82 82	en
welche fluglinien fliegen zwischen baltimore und san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airline	15	82 82 82 82 38 82 155 156	de
welche flüge gibt es von denver nach salt lake city	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name	atis_flight	2	82 82 82 82 82 38 82 155 156 156	de
muéstrame el vuelo más económico de ida desde san francisco hasta boston que salga desde san francisco después de las 9 de la noche	O O O B-cost_relative I-cost_relative O B-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-fromloc.city_name I-fromloc.city_name B-depart_time.time_relative I-depart_time.time_relative I-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time	atis_flight	2	82 82 82 87 88 82 46 82 38 39 82 155 82 82 82 38 39 127 128 128 137 138 138 138	es
list the cheapest one way flight from miami florida to charlotte north carolina	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name	atis_flight	2	82 82 87 46 47 82 82 38 28 82 155 36 37	en
dime los vuelos matutinos desde charlotte hasta baltimore	O O O B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 52 82 38 82 155	es
zeige mir flüge mit delta von dallas nach denver	O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 82 149 82 38 82 155	de
qué es la abreviatura d10	O O O O B-aircraft_code	atis_abbreviation	14	82 82 82 82 97	es
vols mercredi matin entre baltimore et newark au new jersey .	O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name O B-toloc.state_name I-toloc.state_name O	atis_flight	2	82 113 52 82 38 82 155 82 36 37 82	fr
show me the flights from atlanta to boston	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 82 82 38 82 155	en
ok, zeige mir die flüge, die denver nach 7 uhr abends nächsten montag in richtung boston verlassen	O O O O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time B-depart_date.date_relative B-depart_date.day_name O O B-toloc.city_name O	atis_flight	2	82 82 82 82 82 82 38 127 137 138 138 22 113 82 82 155 82	de
welcher flugzeugtyp fliegt um 9 uhr morgens von boston nach washington dc ab	O O O O B-depart_time.time I-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O	atis_aircraft	7	82 82 82 82 137 138 138 82 38 82 155 93 82	de
welche beförderungsklassen bietet twa	O O O B-airline_code	atis_flight	2	82 82 82 91	de
que signifie hou	O O B-airport_code	atis_abbreviation	14	82 82 14	fr
was ist am siebenundzwanzigsten august der letzte flug von washington nach boston	O O O B-depart_date.day_number B-depart_date.month_name O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 95 103 82 58 82 82 38 82 155	de
vols entre baltimore et washington dc .	O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O	atis_flight	2	82 82 38 82 155 93 82	fr
zeige mir flüge von miami nach cleveland mit us air , die nach mittag abfliegen	O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time_relative B-depart_time.time O	atis_flight	2	82 82 82 82 38 82 155 82 149 150 82 82 127 137 82	de
was für flüge gibt es von chicago nach denver am morgen	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day	atis_flight	2	82 82 82 82 82 82 38 82 155 82 52	de
what flights go from boston to atlanta next tuesday	O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name	atis_flight	2	82 82 82 82 38 82 155 22 113	en
quisiera un vuelo por la tarde desde washington hasta boston el veinte de agosto	O O O O O B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name O B-depart_date.day_number	atis_flight	2	82 82 82 82 82 52 82 38 82 155 82 103 82 95	es
cuál es el precio de los vuelos desde indianápolis hasta memphis	O O O O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 82 82 82 38 82 155	es
cuál es la tarifa del primer vuelo desde atlanta hasta denver para el jueves por la mañana	O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O O B-depart_time.period_of_day	atis_airfare	0	82 82 82 82 82 58 82 82 38 82 155 82 82 113 82 82 52	es
zeige die flüge von montreal nach washington mit den niedrigsten preisen für einen einzel flug anzeigen, die am samstag abfliegen	O O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative O O O B-round_trip O O O O B-depart_date.day_name O	atis_flight	2	82 82 82 82 38 82 155 82 82 87 82 82 82 46 82 82 82 82 113 82	de
ich brauche bitte einen direkt flug von atlanta nach baltimore , der um 7 uhr abends ankommt	O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.time I-arrive_time.time I-arrive_time.time O	atis_flight	2	82 82 82 82 151 82 82 38 82 155 82 82 82 143 144 144 82	de
me trouver le dernier vol aller-retour d’ atlanta à boston le même jour .	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name O O B-return_date.date_relative O	atis_flight	2	82 82 82 58 82 82 82 38 82 155 82 82 76 82	fr
what flights from minneapolis to pittsburgh	O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 38 82 155	en
