ID	TEXT	INTENT	SLOTS
77	what is the lowest cost fare that delta has between boston and san francisco	atis_airfare	O O O B-cost_relative I-cost_relative O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
78	i'd like to go from boston to san francisco	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
79	round trip air fares from pittsburgh to philadelphia less than 1000 dollars	atis_airfare	B-round_trip I-round_trip O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
80	does any airline have a jet flight between pittsburgh and baltimore	atis_airline	O O O O O O O O B-fromloc.city_name O B-toloc.city_name
81	what is mco	atis_abbreviation	O O B-airport_code
82	show me the flights from newark new jersey to ontario international next saturday	atis_flight	O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name
83	i want to fly from dallas fort worth to philadelphia	atis_flight	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
84	show me flights between new york city and las vegas	atis_flight	O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
85	how long does it take to get from atlanta airport into the city of atlanta	atis_distance	O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O B-toloc.city_name
86	show me all first class prices from dallas to baltimore	atis_airfare	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
87	is there a flight between san francisco and boston with a stopover in dallas fort worth	atis_flight	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name
88	show me ground transportation information for san francisco	atis_ground_service	O O O O O O B-city_name I-city_name
89	need an inexpensive flight from baltimore to san francisco	atis_flight	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
90	find the earliest flight from boston to oakland that serves breakfast	atis_flight	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description
91	i'd like to fly from philadelphia to dallas to san francisco	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name I-toloc.city_name
92	show me all the direct flights from atlanta to baltimore	atis_flight	O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name
93	latest flight from houston to san jose	atis_flight	B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
94	what're the flights from new york city to las vegas that arrive on a sunday	atis_flight	O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name
95	i would like to fly united airlines from washington dc to denver colorado	atis_flight	O O O O O B-airline_name I-airline_name O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name
96	okay i need to see economy flights on united between dallas and baltimore	atis_flight	O O O O O B-economy O O B-airline_name O B-fromloc.city_name O B-toloc.city_name
97	please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O B-meal_description
98	i need information for flights leaving baltimore and arriving in atlanta	atis_flight	O O O O O O B-fromloc.city_name O O O B-toloc.city_name
99	show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow	atis_flight	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.today_relative
100	show me the fares from dallas to san francisco	atis_airfare	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
101	please give me flights available from baltimore to philadelphia	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name
102	what are the flights on january first 1992 from boston to san francisco	atis_flight	O O O O O B-depart_date.month_name B-depart_date.day_number B-depart_date.year O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
103	flights from denver to baltimore between 10 am and 2 pm	atis_flight	O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time
104	what ground transportation is there in atlanta	atis_ground_service	O O O O O O B-city_name
105	list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm	atis_flight	O B-flight_stop O O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time
106	show flights from baltimore to san francisco between 6 pm and 8 pm on friday	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name
107	i want to fly from denver to san francisco	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
108	coach fares only weekdays for denver to boston	atis_airfare	B-class_type O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name
109	what are the coach fares for flights from newark to la leaving after 3 pm	atis_airfare	O O O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
110	from philadelphia to toronto	atis_flight	O B-fromloc.city_name O B-toloc.city_name
111	i would like a nonstop flight from philadelphia to pittsburgh	atis_flight	O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name
112	what are my choices of flights leaving early afternoon from minneapolis to indianapolis	atis_flight	O O O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
113	what is the cheapest flight flying from boston to atlanta before 8	atis_flight	O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time
114	list possible round trip daily flights between boston and oakland	atis_flight	O O B-round_trip I-round_trip B-flight_days O O B-fromloc.city_name O B-toloc.city_name
115	please give me round trip fares from baltimore to philadelphia	atis_airfare	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
116	find a flight from long beach to st. louis stopping in dallas	atis_flight	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name
117	please list the flights from st. paul to kansas city on friday night that serve meals	atis_flight	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O O B-meal
118	what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth	atis_airfare	O O B-cost_relative I-cost_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.month_name B-arrive_date.day_number
119	can you show me the flights from baltimore to dallas	atis_flight	O O O O O O O B-fromloc.city_name O B-toloc.city_name
120	i need flight information on saturday for a flight from philadelphia to dallas	atis_flight	O O O O O B-depart_date.day_name O O O O B-fromloc.city_name O B-toloc.city_name
121	show me the flights from denver that go to pittsburgh and then atlanta	atis_flight	O O O O O B-fromloc.city_name O O O B-toloc.city_name O O B-toloc.city_name
122	what is the earliest flight you have leaving boston heading to philadelphia	atis_flight	O O O B-flight_mod O O O O B-fromloc.city_name O O B-toloc.city_name
123	what are the least expensive flights from denver to atlanta	atis_flight	O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name
124	what kind of ground transportation is there once i get to dallas	atis_ground_service	O O O O O O O O O O O B-city_name
125	show me the flights that go from atlanta to washington on thursday mornings	atis_flight	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
126	find a flight on delta from philadelphia to san francisco	atis_flight	O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
127	do you have any flights from boston to dallas fort worth that stop over in philadelphia	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
128	what is ff	atis_abbreviation	O O B-airline_code
129	show all nonstop flights from boston to san francisco	atis_flight	O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
130	what kind of ground transportation is available in denver	atis_ground_service	O O O O O O O O B-city_name
131	i would like to travel from indianapolis to houston	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name
132	find travel arrangements for a round trip flight from boston to pittsburgh	atis_flight	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
133	please list the tuesday flights from atlanta to st. louis	atis_flight	O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
134	show me all flights from atlanta to san francisco	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
135	what is the cheapest fare i can get from dallas to denver	atis_airfare	O O O B-cost_relative O O O O O B-fromloc.city_name O B-toloc.city_name
136	what is the latest flight from salt lake city to st. petersburg	atis_flight	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
137	chicago to san francisco on continental	atis_flight	B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name
138	could you show me all the flights from oakland to salt lake city	atis_flight	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
139	what cities are served by canadian airlines international	atis_city	O O O O O B-airline_name I-airline_name I-airline_name
140	san francisco to philadelphia please	atis_flight	B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O
141	flights from nashville to seattle	atis_flight	O O B-fromloc.city_name O B-toloc.city_name
142	what flights are available friday afternoon from philadelphia to oakland california	atis_flight	O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name
143	tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time
144	what kinds of ground transportation is available in dallas fort worth	atis_ground_service	O O O O O O O O B-city_name I-city_name I-city_name
145	requesting flight information from boston to denver on wednesday	atis_flight	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
146	can you list all flights departing from toronto and landing in san diego with a stopover in denver	atis_flight	O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
147	all flights from denver to pittsburgh leaving after 6 pm and before 7 pm	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_time.time_relative B-depart_time.time I-depart_time.time
148	list flights from phoenix to detroit on wednesday	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
149	what is the distance between pittsburgh airport and downtown pittsburgh	atis_distance	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
150	show me the flights from love field to any other airport	atis_flight	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O
151	find a flight from charlotte to las vegas that stop in st. louis that serve dinner and i want to find the airline for this flight	atis_flight	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name O O B-meal_description O O O O O O O O O O
152	list all flights from washington dc to tampa florida	atis_flight	O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name
153	can you tell me the cheapest one way fare from boston to san francisco	atis_airfare	O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
154	what airlines are there	atis_airline	O O O O
155	i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm it must be a nonstop flight	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name O O B-depart_time.period_of_day O O O B-arrive_time.time I-arrive_time.time O O O O B-flight_stop O
156	is there an airline that advertises having more flights than any other airline	atis_airline	O O O O O O O B-mod O O O O O
157	phoenix to denver	atis_flight	B-fromloc.city_name O B-toloc.city_name
158	what is the lowest fare from denver to atlanta	atis_airfare	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
159	all flights from boston to washington dc on november eleventh	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.month_name B-depart_date.day_number
160	flight from nashville to cleveland	atis_flight	O O B-fromloc.city_name O B-toloc.city_name
161	i would like to see the flights from baltimore to philadelphia please	atis_flight	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O
162	i want a flight on twa from boston to denver	atis_flight	O O O O O B-airline_code O B-fromloc.city_name O B-toloc.city_name
163	can you list flights from boston to washington with the lowest one way fares that leave on saturday	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative B-round_trip I-round_trip O O O O B-depart_date.day_name
164	give me flights that arrive in baltimore from atlanta denver and pittsburgh	atis_flight	O O O O O O B-toloc.city_name O B-fromloc.city_name B-fromloc.city_name O B-fromloc.city_name
165	all flights leaving washington dc to san francisco that are first class	atis_flight	O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name O O B-class_type I-class_type
166	i need a flight from baltimore to seattle	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name
167	what are the ground transportation services in philadelphia	atis_ground_service	O O O O O O O B-city_name
168	what does fare code qo mean	atis_abbreviation	O O O O B-fare_basis_code O
169	ground transportation washington	atis_ground_service	O O B-city_name
170	show me the latest flight to love field	atis_flight	O O O B-flight_mod O O B-toloc.airport_name I-toloc.airport_name
171	what airlines fly between boston and atlanta	atis_airline	O O O O B-fromloc.city_name O B-toloc.city_name
172	what is american's last flight from boston to washington dc on july twenty first	atis_flight	O O B-airline_name B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
173	show flights from boston to denver on wednesday morning	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
174	show me all flights from philadelphia to boston on monday which serve a meal and arrive before noon	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O O B-meal O O B-arrive_time.time_relative B-arrive_time.time
175	list all daily flights between boston and oakland and between oakland and boston using delta airlines	atis_flight	O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
176	i need a flight from ontario to los angeles on a thursday	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.day_name
177	what are the fares from dallas to san francisco on flight dl 217	atis_airfare	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-airline_code B-flight_number
178	what are the flights from montreal to chicago	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name
179	list daily flights of united airline from denver to baltimore with first class service	atis_flight	O B-flight_days O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O B-class_type I-class_type O
180	is there ground transportation from the atlanta airport to downtown atlanta	atis_ground_service	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
181	please show me early morning flights from atlanta to philadelphia on wednesday	atis_flight	O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
182	what flights from baltimore to san francisco arrive before 8 pm in san francisco	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-toloc.city_name I-toloc.city_name
183	okay could you get me a round trip ticket from indianapolis to kansas city	atis_airfare	O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
184	show me the flights from miami to denver	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name
185	what is the earliest flight flying from pittsburgh to atlanta on july fifth	atis_flight	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
186	find a flight between denver and oakland the flight should leave in the afternoon and arrive near 5 pm the flight should also be nonstop	atis_flight	O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O B-depart_time.period_of_day O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O O O O B-flight_stop
187	what ground transportation is available in newark	atis_ground_service	O O O O O O B-city_name
188	i want a flight from philadelphia to dallas with a stop in atlanta	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name
